x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
8,2,-71.11061943,-67.77890724,-97.93557647,-69.61220384,-97.45387765,-58.7860449,-46.96244019,-60.34196399,-71.88355112,-65.51706566,-71.2790843,-71.36521509,-64.59712054,-59.9479494,-46.11270099,-60.84432603,-75.87647114,-63.85984631,-72.35561925,-72.16015589,-61.9642361,-60.62767411,-46.67021588,-62.27973185
8,4,-68.6555813,-64.08777399,-68.00366832,-66.62820999,-68.03914924,-60.25418614,-51.36866554,-62.98275392,-72.81339557,-68.67594124,-66.4783069,-66.94093044,-64.92844691,-61.53737192,-51.88012782,-64.68364365,-71.53013632,-65.28954316,-64.25336693,-71.03854139,-61.94991969,-63.63058417,-51.72226994,-63.48234035
8,5,-70.38179526,-61.97284435,-66.06225727,-66.07647177,-67.87096172,-58.5696304,-53.45726323,-65.53330642,-74.84068718,-64.80342603,-65.55764481,-64.35373331,-67.67509581,-61.22937646,-52.17660167,-67.30762026,-73.98320623,-62.70884636,-64.8613608,-65.68103929,-64.65884366,-60.11238508,-53.10728093,-65.3282019
8,6,-71.5027248,-67.16459784,-71.53175909,-65.37485552,-67.27702085,-56.82577043,-56.60291227,-65.02884973,-71.49790415,-65.32960388,-64.67162105,-66.66265369,-67.37847989,-59.08319468,-55.44399143,-66.30543059,-72.13927416,-62.93167795,-64.4214171,-66.79988914,-62.83284897,-61.0928925,-55.18957167,-65.10585452
8,7,-71.5891555,-62.39267955,-72.67134776,-65.71587152,-68.78073495,-56.8678257,-57.68206111,-63.24541879,-67.75798186,-64.71438848,-64.6451217,-66.685075,-65.79914628,-59.98318847,-55.85855469,-64.55697852,-71.30816778,-61.54100226,-65.46621825,-66.27653578,-61.96286506,-62.17192195,-57.12578811,-64.35492726
8,8,-65.54217928,-60.5284875,-68.85516488,-66.38476315,-65.98260682,-63.45035559,-56.40598384,-62.67215984,-69.63459476,-61.92605684,-65.20208768,-65.6543361,-66.55909315,-61.73697616,-54.89857201,-64.54690872,-72.89709887,-60.50524786,-64.46926293,-70.54737289,-66.32224685,-61.02010355,-54.8262032,-62.81481688
8,10,-73.7815764,-57.30716483,-65.20079111,-65.70204607,-66.86498544,-62.86931615,-89.61980871,-65.33910121,-68.2824283,-64.04250353,-64.77410315,-65.12449587,-70.28623793,-61.5538571,-58.769743,-70.49534788,-68.64358006,-60.55853503,-60.96841759,-63.50042015,-72.03952361,-61.09607491,-57.98484104,-67.94222997
8,11,-71.08590543,-56.2887156,-69.74153346,-66.83283528,-64.13630176,-61.31094228,-81.7515243,-65.66991924,-69.41852788,-63.07127232,-63.81933638,-65.83707552,-67.37406471,-60.10095217,-59.18083475,-68.51248705,-67.98705368,-66.07846704,-61.82186812,-65.13957458,-73.49494558,-60.55181894,-59.97106503,-66.41584125
8,12,-76.68373971,-53.49664494,-74.19362696,-66.00277366,-62.6662425,-59.99837128,-60.81794396,-64.88469404,-73.93584506,-53.35841117,-65.28805061,-66.74751342,-67.02432353,-58.67456329,-63.34611409,-65.67647423,-73.16166127,-54.38298195,-62.87407657,-68.12384973,-68.66088678,-59.83202302,-63.68708664,-64.1899105
8,14,-73.48532304,-46.38779851,-67.20499575,-65.24923124,-65.16959804,-59.75030499,-60.3148526,-62.88680805,-64.89209559,-49.09125159,-63.68868615,-66.27823571,-67.66809572,-60.79748317,-59.96586851,-66.11027544,-64.13747055,-48.39813628,-62.38877662,-67.37236777,-72.97729814,-59.95745427,-60.05352094,-64.64463188
